origin,destination,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
AT,AT,null,562292,603120,552166,521657,564733,613351,650192,689130,726166,857418,787901,814491,792093,752715,604440,611546
AT,BE,null,246263,286777,259734,199735,209384,216332,208048,201465,201365,198387,205270,233240,230971,196783,163980,172415
AT,BG,74739,251779,225943,211937,206832,207962,212491,215129,256606,199684,180236,158432,198808,169089,null,null,null
AT,CH,null,783251,793420,745531,708040,695837,648913,634999,621294,593215,534570,516333,527634,499018,464838,485118,439599
AT,CY,null,156027,126897,111345,115363,120005,102153,84595,86412,74382,74851,78101,85719,78388,58725,64124,43724
AT,CZ,null,89767,88031,79009,70818,73588,79017,81190,76980,76395,67200,64003,71813,92072,85069,81057,77825
AT,DE,943481,3645271,3541878,3505400,3379055,3378762,3374646,3260812,3282867,3223919,3059588,2803201,2928973,2803860,2475456,2260889,2050114
AT,DK,null,280681,217901,209636,202639,181983,217436,236556,238926,210002,198629,156036,198339,191792,176725,177237,153628
AT,EE,null,26322,27210,26143,19223,13293,2516,2633,15500,1520,2007,2517,15624,10749,4328,3958,1767
AT,EL,null,597147,495391,436317,438680,468935,432546,398438,328265,335694,368791,394418,456809,489188,514960,462402,457290
AT,ES,null,1303045,913138,699536,777054,739389,710580,664877,738743,706424,595951,544944,611064,549584,475392,450370,434368
AT,FI,28376,107764,96929,100852,97204,85749,89013,77942,75066,110549,103156,98089,103726,94112,93242,79144,70473
AT,FR,null,754274,633607,597058,547593,507988,514569,507334,559361,527865,520172,452242,506851,460442,407790,374046,318214
AT,HR,null,178406,170104,176772,155876,144300,139319,138038,143544,141674,120141,115606,133937,null,null,null,null
AT,HU,null,54619,54056,52151,52094,53142,54292,52291,54942,41347,35580,33316,37851,42234,42295,45808,51769
AT,IE,null,129590,85697,68286,66076,60247,59579,63246,62818,64386,64534,74740,94090,98177,101472,72164,63680
AT,IS,9806,33087,7806,8618,13737,10286,7739,6046,4500,4090,4123,2392,3921,4007,4004,3960,2784
AT,IT,null,1018993,777348,589011,611444,615368,618113,602908,591316,620552,535081,439862,536172,501137,417806,390045,398367
AT,LT,null,34417,27206,27829,24305,25728,27056,27063,25554,21589,19168,17965,19098,17978,18615,17080,null
AT,LU,18366,62193,53864,52112,51159,47206,40220,34689,30148,29205,27809,28120,30043,23705,18898,20097,20578
